Time,X,Y,V_angle,V_speed,Gas_pedal,Fuel_act,Brake_pedal,Brake_act,Steering_wheel,Direction_act,Wheel_angle
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000973,3.289546,3.370389,1.069714,9.428300,100.000000,100.000000,0.000000,0.000000,-100.000000,100.000000,1.570796
2.000406,13.520571,12.188019,0.991631,18.043164,100.000000,100.000000,0.000000,0.000000,-100.000000,100.000000,1.570796
